image_file	caption
Flicker8k_Dataset/3523819210_99782628fc.jpg	<start> manusia duduk di kursi biru berikutnya dua potong kayu <end>
Flicker8k_Dataset/94232465_a135df2711.jpg	<start> Seorang wanita ice skates saat menarik seorang anak di kereta. <end>
Flicker8k_Dataset/94232465_a135df2711.jpg	<start> Seorang ibu menarik putrinya dalam gerobak di atas dataran bersalju. <end>
Flicker8k_Dataset/94232465_a135df2711.jpg	<start> Seorang wanita menarik gerobak dengan seorang gadis di dalamnya di danau beku <end>
Flicker8k_Dataset/94232465_a135df2711.jpg	<start> Gadis itu menarik balita dalam gerobak sementara skating di atas es. <end>
Flicker8k_Dataset/94232465_a135df2711.jpg	<start> Wanita itu adalah ice skating dan menarik gadis kecil di gerobak di atas es. <end>
Flicker8k_Dataset/2183227136_8bb657846b.jpg	<start> Seorang anak bermain di pantai pasir selama matahari terbenam. <end>
Flicker8k_Dataset/2183227136_8bb657846b.jpg	<start> Seorang anak bermain di pasir pantai dengan matahari rendah di cakrawala. <end>
Flicker8k_Dataset/2183227136_8bb657846b.jpg	<start> Seseorang di pantai di samping laut saat matahari terbenam. <end>
Flicker8k_Dataset/2183227136_8bb657846b.jpg	<start> Gambar matahari terbenam di pantai dengan seorang anak di latar depan. <end>
Flicker8k_Dataset/2183227136_8bb657846b.jpg	<start> Seseorang mendayung perahu kecil melintasi danau saat matahari terbenam. <end>
Flicker8k_Dataset/3613242966_a1c63a0174.jpg	<start> Seekor anjing bermain di dalam air. <end>
Flicker8k_Dataset/3613242966_a1c63a0174.jpg	<start> anjing berjalan melalui air. <end>
Flicker8k_Dataset/3613242966_a1c63a0174.jpg	<start> Seekor anjing berenang di dalam air. <end>
Flicker8k_Dataset/3613242966_a1c63a0174.jpg	<start> Sebuah percikan anjing cokelat saat ia berenang melalui air. <end>
Flicker8k_Dataset/3613242966_a1c63a0174.jpg	<start> anjing entah bagaimana menyebabkan gelombang di air. <end>
Flicker8k_Dataset/2895700779_fac1d9d278.jpg	<start> Sebuah closeup seorang wanita dengan rambut merah pendek. <end>
Flicker8k_Dataset/2895700779_fac1d9d278.jpg	<start> Seorang gadis dengan rambut merah neon dan alis. <end>
Flicker8k_Dataset/2895700779_fac1d9d278.jpg	<start> Seorang gadis dengan rambut merah dan alis merah tampaknya berada di tengah-speach. <end>
Flicker8k_Dataset/2895700779_fac1d9d278.jpg	<start> Seorang wanita dengan rambut merah cerah dan alis merah berbicara kepada seseorang di luar. <end>
Flicker8k_Dataset/2895700779_fac1d9d278.jpg	<start> Gadis itu memiliki rambut merah dan alis, multi-piercing di telinganya, dan tato di punggungnya. <end>
Flicker8k_Dataset/3006926228_cf3c067b3e.jpg	<start> Seorang pria mengangkat tangannya di udara dan memiliki t-shirt dengan Amerika Serikat di atasnya. <end>
Flicker8k_Dataset/3006926228_cf3c067b3e.jpg	<start> Seorang pria membuat gerakan perayaan di antara kerumunan di malam hari. <end>
Flicker8k_Dataset/3006926228_cf3c067b3e.jpg	<start> pria dan wanita bersorak <end>
Flicker8k_Dataset/3006926228_cf3c067b3e.jpg	<start> Orang-orang berteriak dengan tangan mereka tersengal-sengal di malam hari. <end>
Flicker8k_Dataset/3006926228_cf3c067b3e.jpg	<start> Pria dan salah satu wanita telah mengangkat tangan mereka. <end>
Flicker8k_Dataset/2855594918_1d1e6a6061.jpg	<start> Sebuah biker, semua tertutup lumpur, naik sepeda biru. <end>
Flicker8k_Dataset/2855594918_1d1e6a6061.jpg	<start> Biker dengan kemeja oranye berlumpur naik sepeda balap biru <end>
Flicker8k_Dataset/2855594918_1d1e6a6061.jpg	<start> Seorang pria dengan kemeja oranye mengenakan helm putih mengendarai sepeda. <end>
Flicker8k_Dataset/2855594918_1d1e6a6061.jpg	<start> Orang dengan kemeja oranye dan helm hitam dan putih naik sepeda <end>
Flicker8k_Dataset/2855594918_1d1e6a6061.jpg	<start> Pria di sepeda baru saja selesai naik melalui beberapa lumpur. <end>
Flicker8k_Dataset/3223709894_97824ba76f.jpg	<start> Seekor anjing coklat berlari di rumput dengan satu telinga ke atas. <end>
Flicker8k_Dataset/3223709894_97824ba76f.jpg	<start> Seekor anjing berbulu halus berjalan di rumput. <end>
Flicker8k_Dataset/3223709894_97824ba76f.jpg	<start> Seekor anjing shaggy berlari melalui daerah berumput. <end>
Flicker8k_Dataset/3223709894_97824ba76f.jpg	<start> genangan cokelat kecil berjalan melalui halaman berumput. <end>
Flicker8k_Dataset/3223709894_97824ba76f.jpg	<start> Seekor anjing kecil berlari melalui rumput. <end>
Flicker8k_Dataset/469021173_aa31c07108.jpg	<start> Seorang pejalan kaki memakai ransel oranye berjalan melalui rumput panjang. <end>
Flicker8k_Dataset/469021173_aa31c07108.jpg	<start> Seorang pria berjalan di semak-semak dengan ransel oranye besar. <end>
Flicker8k_Dataset/469021173_aa31c07108.jpg	<start> Seorang pria dengan ransel oranye di daerah lebat. <end>
Flicker8k_Dataset/469021173_aa31c07108.jpg	<start> Seseorang dengan ransel besar mendaki melalui rumput tinggi. <end>
Flicker8k_Dataset/469021173_aa31c07108.jpg	<start> Pejalan kaki dengan ransel hitam dan oranye berjalan pergi ke daerah berhutan. <end>
Flicker8k_Dataset/2066271441_1f1f056c01.jpg	<start> Seekor anjing hitam membawa bola yang berwarna-warni berenang. <end>
Flicker8k_Dataset/2066271441_1f1f056c01.jpg	<start> Seekor anjing hitam mengambil bola dalam air. <end>
Flicker8k_Dataset/2066271441_1f1f056c01.jpg	<start> Seekor anjing hitam berenang dengan bola di mulutnya. <end>
Flicker8k_Dataset/2066271441_1f1f056c01.jpg	<start> Seekor anjing hitam berenang di air dengan bola berwarna-warni di mulutnya. <end>
Flicker8k_Dataset/2066271441_1f1f056c01.jpg	<start> Anjing hitam mendayung melalui air dengan bola terang di mulutnya. <end>
Flicker8k_Dataset/2866254827_9a8f592017.jpg	<start> Seorang pria mengendarai sepeda motor dengan ban belakangnya. <end>
Flicker8k_Dataset/2866254827_9a8f592017.jpg	<start> Seorang pria di sepeda olahraga kuning tidak wheelie sebagai temannya pada sepeda hitam menangkap. <end>
Flicker8k_Dataset/2866254827_9a8f592017.jpg	<start> Seorang pengendara motor kuning bermunculan wheelie. <end>
Flicker8k_Dataset/2866254827_9a8f592017.jpg	<start> Penunggang jeruk mengendarai sepeda motor dengan satu roda. <end>
Flicker8k_Dataset/2866254827_9a8f592017.jpg	<start> Dua pengendara sepeda motor di jalan yang kabur, satu pengendara melakukan wheelie. <end>
Flicker8k_Dataset/3254817653_632e840423.jpg	<start> Foto keluarga. <end>
Flicker8k_Dataset/3254817653_632e840423.jpg	<start> Sekelompok orang dewasa memakai sweater dan memiliki tangan mereka di saku mereka. <end>
Flicker8k_Dataset/3254817653_632e840423.jpg	<start> Sekelompok dari lima orang dewasa berdiri berpose di depan bangunan. <end>
Flicker8k_Dataset/3254817653_632e840423.jpg	<start> Sekelompok orang berdiri bersama-sama dan berpose di depan rumah. <end>
Flicker8k_Dataset/3254817653_632e840423.jpg	<start> Sebuah kelompok ditembak empat orang dan satu gadis di depan bangunan bata. <end>
Flicker8k_Dataset/2926786902_815a99a154.jpg	<start> Sebuah skier dalam jaket kuning adalah udara di atas pegunungan. <end>
Flicker8k_Dataset/2926786902_815a99a154.jpg	<start> Seorang pemain ski melompat tinggi di udara dengan pemandangan pegunungan. <end>
Flicker8k_Dataset/2926786902_815a99a154.jpg	<start> Seorang pria ski dalam jaket fluorescent melompat sangat tinggi dan terlihat seolah-olah dia terbang. <end>
Flicker8k_Dataset/2926786902_815a99a154.jpg	<start> Somone tinggi di udara melakukan lompatan ski. <end>
Flicker8k_Dataset/2926786902_815a99a154.jpg	<start> Pemain ski dengan jaket hijau dan celana putih tampaknya hampir terbang ke langit. <end>
Flicker8k_Dataset/2339106348_2df90aa6a9.jpg	<start> Seorang gadis dengan rambut cokelat gelap dan mata di syal biru berdiri di samping seorang gadis dengan mantel bermata bulu. <end>
Flicker8k_Dataset/2339106348_2df90aa6a9.jpg	<start> seorang anak Asia dan seorang gadis Asia tersenyum di kerumunan orang. <end>
Flicker8k_Dataset/2339106348_2df90aa6a9.jpg	<start> Gadis-gadis berada di kerumunan. <end>
Flicker8k_Dataset/2339106348_2df90aa6a9.jpg	<start> Dua gadis berambut hitam berada di kerumunan. <end>
Flicker8k_Dataset/2339106348_2df90aa6a9.jpg	<start> Dua gadis saling berhadapan di arah yang berbeda saat berdiri di keramaian. <end>
Flicker8k_Dataset/3514297698_0512623955.jpg	<start> anjing hitam dan abu-abu menangkap bola tenis di pantai <end>
Flicker8k_Dataset/3514297698_0512623955.jpg	<start> Seekor anjing menangkap bola tenis kuning di pantai. <end>
Flicker8k_Dataset/3514297698_0512623955.jpg	<start> Seekor anjing melompat untuk bola tenis dekat laut <end>
Flicker8k_Dataset/3514297698_0512623955.jpg	<start> Seekor anjing melompat untuk menangkap bola di ombak. <end>
Flicker8k_Dataset/3514297698_0512623955.jpg	<start> Seekor anjing berbintik berdiri di kaki belakangnya untuk menangkap bola di pantai. <end>
Flicker8k_Dataset/2500354186_0836309cc9.jpg	<start> Seorang anak berjalan melalui halaman berbatu berdebu dengan ban sepeda di bahunya. <end>
Flicker8k_Dataset/2500354186_0836309cc9.jpg	<start> Seorang anak kecil membawa lingkaran besar. <end>
Flicker8k_Dataset/2500354186_0836309cc9.jpg	<start> Seorang anak kecil memegang ban di bahunya. <end>
Flicker8k_Dataset/2500354186_0836309cc9.jpg	<start> Seorang anak kecil membawa ban sepeda di bahunya. <end>
Flicker8k_Dataset/2500354186_0836309cc9.jpg	<start> Seorang anak kecil membawa ban karet di jalan yang kotor. <end>
Flicker8k_Dataset/1969573381_5ecfae4c80.jpg	<start> Sebuah binatang coklat dan putih dikelilingi oleh pohon-pohon. <end>
Flicker8k_Dataset/1969573381_5ecfae4c80.jpg	<start> Seekor anjing berdiri di luar sedang melihat ke kamera. <end>
Flicker8k_Dataset/1969573381_5ecfae4c80.jpg	<start> Seekor anjing kulit putih dan cokelat berdiri di dekat tanaman hijau. <end>
Flicker8k_Dataset/1969573381_5ecfae4c80.jpg	<start> Seekor anjing tan berdiri di depan beberapa tanaman. <end>
Flicker8k_Dataset/1969573381_5ecfae4c80.jpg	<start> Anjing coklat yang tampak seperti dingo terlihat keluar dari hutan. <end>
Flicker8k_Dataset/3639105305_bd9cb2d1db.jpg	<start> Seorang ibu dan putrinya berpose di depan air terjun. <end>
Flicker8k_Dataset/3639105305_bd9cb2d1db.jpg	<start> Seorang wanita dan seorang anak duduk di atas kayu dan pagar batu dengan air terjun di latar belakangnya. <end>
Flicker8k_Dataset/3639105305_bd9cb2d1db.jpg	<start> Seorang wanita dan seorang gadis duduk di pagar di depan air terjun <end>
Flicker8k_Dataset/3639105305_bd9cb2d1db.jpg	<start> Seorang wanita dan putrinya di depan air terjun <end>
Flicker8k_Dataset/3639105305_bd9cb2d1db.jpg	<start> Seorang wanita duduk dengan seorang gadis di pagar di depan air terjun. <end>
Flicker8k_Dataset/2046778775_0dd7cac6ab.jpg	<start> Sekelompok anak berbaris untuk tampil di panggung. <end>
Flicker8k_Dataset/2046778775_0dd7cac6ab.jpg	<start> Sekelompok anak perempuan dan anak laki-laki berlatih bersama di panggung sekolah sementara beberapa orang dewasa dan anak-anak menonton. <end>
Flicker8k_Dataset/2046778775_0dd7cac6ab.jpg	<start> Sekelompok anak-anak berdiri di panggung di depan penonton yang siap tampil. <end>
Flicker8k_Dataset/2046778775_0dd7cac6ab.jpg	<start> Sekelompok anak-anak di atas panggung. <end>
Flicker8k_Dataset/2046778775_0dd7cac6ab.jpg	<start> sekelompok besar anak-anak tampil di panggung di depan penonton <end>
Flicker8k_Dataset/2973272684_4d63cbc241.jpg	<start> Seorang pemain sepak bola dengan helm emas berjalan dengan sepak bola. <end>
Flicker8k_Dataset/2973272684_4d63cbc241.jpg	<start> Seorang pemain sepak bola dalam jersey ungu menjalankan bola dalam untuk touchdown. <end>
Flicker8k_Dataset/2973272684_4d63cbc241.jpg	<start> Seorang pemain sepak bola berlari di lapangan saat wasit meniup peluitnya. <end>
Flicker8k_Dataset/2973272684_4d63cbc241.jpg	<start> Seorang pemain sepak bola berlari melewati seorang pejabat membawa bola. <end>
Flicker8k_Dataset/2973272684_4d63cbc241.jpg	<start> Pemain sepak bola menjalankan bola melewati wasit. <end>
Flicker8k_Dataset/1505686764_9e3bcd854a.jpg	<start> seorang pria dengan celana pendek merah berjalan di sepanjang batu oleh sungai membawa tongkat. <end>
Flicker8k_Dataset/1505686764_9e3bcd854a.jpg	<start> A man in red shorts standing on rocks by a stream <end>
Flicker8k_Dataset/1505686764_9e3bcd854a.jpg	<start> Seorang pria berjalan di atas batu dengan air yang mengalir di sekitar mereka. <end>
Flicker8k_Dataset/1505686764_9e3bcd854a.jpg	<start> Seorang pria tanpa baju berdiri di tepi sungai. <end>
Flicker8k_Dataset/1505686764_9e3bcd854a.jpg	<start> Pejalan kaki mendekati sungai. <end>
Flicker8k_Dataset/3205839744_24504ba179.jpg	<start> Seekor anjing coklat berbaring di atas bantal hijau. <end>
Flicker8k_Dataset/3205839744_24504ba179.jpg	<start> Seekor anjing coklat bersandar pada bantal hijau. <end>
Flicker8k_Dataset/3205839744_24504ba179.jpg	<start> Seekor anjing coklat tidur di bantal hijau. <end>
Flicker8k_Dataset/3205839744_24504ba179.jpg	<start> Seekor anjing berbaring di atas bantal hijau. <end>
Flicker8k_Dataset/3205839744_24504ba179.jpg	<start> Seekor anjing coklat besar berbaring di bawah matahari di atas tempat tidur anjing hijau besar. <end>
Flicker8k_Dataset/2596474836_79468f23a0.jpg	<start> Seorang wanita membantu balita berenang di kolam renang. <end>
Flicker8k_Dataset/2596474836_79468f23a0.jpg	<start> Seorang wanita dengan topi renang putih mengajari balita berenang di kolam renang. <end>
Flicker8k_Dataset/2596474836_79468f23a0.jpg	<start> Seorang wanita memegang anak laki-laki di kolam renang. <end>
Flicker8k_Dataset/2596474836_79468f23a0.jpg	<start> Seorang wanita dengan berenang putih memegang anak kecil di kolam renang. <end>
Flicker8k_Dataset/2596474836_79468f23a0.jpg	<start> Wanita mengajari anak muda berenang. <end>
Flicker8k_Dataset/2045562030_654ddea5e5.jpg	<start> Sekelompok remaja, satu dengan rambut merah muda. <end>
Flicker8k_Dataset/2045562030_654ddea5e5.jpg	<start> Sekelompok remaja berbicara dekat dinding semen. <end>
Flicker8k_Dataset/2045562030_654ddea5e5.jpg	<start> Sekelompok remaja berbicara di sebelah bangunan dengan kolom berpasir. <end>
Flicker8k_Dataset/2045562030_654ddea5e5.jpg	<start> dua gadis dengan rambut merah muda bergaris-garis dan dua anak laki-laki dengan rambut hitam berdiri di samping bangunan beton. <end>
Flicker8k_Dataset/2045562030_654ddea5e5.jpg	<start> Dua gadis muda dengan rambut dicat berbicara dengan dua anak laki-laki hitam. <end>
Flicker8k_Dataset/3550763985_800cfee7e4.jpg	<start> Seorang pria dengan topi baseball melakukan lompatan skateboard pada setengah pipa. <end>
Flicker8k_Dataset/3550763985_800cfee7e4.jpg	<start> Sebuah skateboarder melakukan trik di jalan. <end>
Flicker8k_Dataset/3550763985_800cfee7e4.jpg	<start> Seorang skateboarder dengan topi hitam putih di puncak lompatan pada hari bersalju. <end>
Flicker8k_Dataset/3550763985_800cfee7e4.jpg	<start> Skateboarder dengan topi hitam dan putih menampilkan sebuah ollie di sebuah taman skate. <end>
Flicker8k_Dataset/3550763985_800cfee7e4.jpg	<start> skateboarder ini melakukan trik dari sisi pipa setengah <end>
Flicker8k_Dataset/2544182005_3aa1332bf9.jpg	<start> Seorang anak kecil dengan kemeja biru mengenakan helm dan naik dua roda sepeda. <end>
Flicker8k_Dataset/2544182005_3aa1332bf9.jpg	<start> seorang anak muda mengendarai sepeda ungu. <end>
Flicker8k_Dataset/2544182005_3aa1332bf9.jpg	<start> Seorang anak kecil mengendarai sepeda ungu. <end>
Flicker8k_Dataset/2544182005_3aa1332bf9.jpg	<start> Seorang anak kecil mengendarai sepeda ungu kecil sambil mengenakan helm merah. <end>
Flicker8k_Dataset/2544182005_3aa1332bf9.jpg	<start> Seorang anak kecil yang memakai helm sepeda mengendarai sepeda roda dua. <end>
Flicker8k_Dataset/2565350330_c7f305e7f7.jpg	<start> Seorang pria berjenggot berbaring di punggungnya di bawah pohon besar. <end>
Flicker8k_Dataset/2565350330_c7f305e7f7.jpg	<start> Seorang pria berjenggot abu-abu tidur di bawah pohon. <end>
Flicker8k_Dataset/2565350330_c7f305e7f7.jpg	<start> Seorang pria meletakkan rumput di bawah pohon. <end>
Flicker8k_Dataset/2565350330_c7f305e7f7.jpg	<start> Seorang pria berpakaian rapi dengan tongkat dan jenggot, tidur di bawah pohon di taman. <end>
Flicker8k_Dataset/2565350330_c7f305e7f7.jpg	<start> Seorang pria berambut putih meletakkan tebu dan topi dan beristirahat di samping pohon. <end>
Flicker8k_Dataset/3154693053_cfcd05c226.jpg	<start> Sebuah bola basket <end>
Flicker8k_Dataset/3154693053_cfcd05c226.jpg	<start> pemain basket menggiring bola. <end>
Flicker8k_Dataset/3154693053_cfcd05c226.jpg	<start> Pemain basket Miami menggiring bola dan terlihat serius. <end>
Flicker8k_Dataset/3154693053_cfcd05c226.jpg	<start> Pemain basket Miami Hurricanes memiliki bola. <end>
Flicker8k_Dataset/3154693053_cfcd05c226.jpg	<start> Pemain basket di garis putih sedang bermain bola di lapangan. <end>
Flicker8k_Dataset/2842032768_9d9ce04385.jpg	<start> Pudel hitam membawa mainan kunyah merah sambil bermain dengan pudel coklat. <end>
Flicker8k_Dataset/2842032768_9d9ce04385.jpg	<start> Pudel hitam dengan mainan di mulut <end>
Flicker8k_Dataset/2842032768_9d9ce04385.jpg	<start> Satu anjing hitam dengan mainan dan satu anjing kuning. <end>
Flicker8k_Dataset/2842032768_9d9ce04385.jpg	<start> Dua pudel ini, satu hitam dan satu coklat, sedang bermain. <end>
Flicker8k_Dataset/2842032768_9d9ce04385.jpg	<start> Dua pudel bermain dengan mainan merah. <end>
Flicker8k_Dataset/3242088278_43eea5d17e.jpg	<start> Seekor elang botak dekat kolam air. <end>
Flicker8k_Dataset/3242088278_43eea5d17e.jpg	<start> Seekor elang botak duduk di tepi sungai. <end>
Flicker8k_Dataset/3242088278_43eea5d17e.jpg	<start> Seekor elang botak berdiri di perairan dangkal. <end>
Flicker8k_Dataset/3242088278_43eea5d17e.jpg	<start> Seekor elang berdiri di dalam air. <end>
Flicker8k_Dataset/3242088278_43eea5d17e.jpg	<start> Burung berjalan di air dekat batu. <end>
Flicker8k_Dataset/3104400277_1524e4f758.jpg	<start> Dirt bikers di jejak. <end>
Flicker8k_Dataset/3104400277_1524e4f758.jpg	<start> Empat pengendara motor kotor naik di jalan tanah. <end>
Flicker8k_Dataset/3104400277_1524e4f758.jpg	<start> Dua pengendara sepeda menghadapi jalur balap panjang. <end>
Flicker8k_Dataset/3104400277_1524e4f758.jpg	<start> Dua pengendara motorcross duduk di bahu lintasan balap. <end>
Flicker8k_Dataset/3104400277_1524e4f758.jpg	<start> Dua orang naik sepeda motor. <end>
Flicker8k_Dataset/1002674143_1b742ab4b8.jpg	<start> Seorang gadis kecil yang ditutupi cat duduk di depan pelangi dicat dengan tangannya dalam mangkuk. <end>
Flicker8k_Dataset/1002674143_1b742ab4b8.jpg	<start> Seorang gadis kecil duduk di depan pelangi dicat besar. <end>
Flicker8k_Dataset/1002674143_1b742ab4b8.jpg	<start> Seorang gadis kecil di rumput bermain dengan cat jari di depan kanvas putih dengan pelangi di atasnya. <end>
Flicker8k_Dataset/1002674143_1b742ab4b8.jpg	<start> Ada seorang gadis dengan ekor babi duduk di depan lukisan pelangi. <end>
Flicker8k_Dataset/1002674143_1b742ab4b8.jpg	<start> Gadis muda dengan pigtail melukis di luar di rumput. <end>
Flicker8k_Dataset/219070971_ae43410b9e.jpg	<start> Sebuah motor kotor mendorong sepeda motornya ke atas batu sementara pembalap lain menonton. <end>
Flicker8k_Dataset/219070971_ae43410b9e.jpg	<start> Seorang pria berbaju merah di atas sepeda motor kotor berjuang sampai batu sementara orang lain di jam merah. <end>
Flicker8k_Dataset/219070971_ae43410b9e.jpg	<start> Seorang pria berbaju merah mendorong motorcross-nya naik ke atas batu. <end>
Flicker8k_Dataset/219070971_ae43410b9e.jpg	<start> Seorang pria sedang melihat orang lain mencoba memanjat batu kecil dengan sepeda motor kotornya. <end>
Flicker8k_Dataset/219070971_ae43410b9e.jpg	<start> Seorang pria merah-clad naik sepeda melalui tanah berbatu sementara orang lain melihat pada <end>
Flicker8k_Dataset/2458269558_277012780d.jpg	<start> Anak pirang berbaju putih dan oranye sedang bermain ayunan. <end>
Flicker8k_Dataset/2458269558_277012780d.jpg	<start> Seorang anak dengan kemeja berselancar berayun di ayunan. <end>
Flicker8k_Dataset/2458269558_277012780d.jpg	<start> Seorang anak tersenyum saat berada di ayunan. <end>
Flicker8k_Dataset/2458269558_277012780d.jpg	<start> Seorang anak kecil ayunan di taman bermain. <end>
Flicker8k_Dataset/2458269558_277012780d.jpg	<start> Anak kecil berayun di ayunan. <end>
Flicker8k_Dataset/2448793019_5881c025f9.jpg	<start> Seorang anak dengan rambut liar dan kacamata hitam turun dari slide biru. <end>
Flicker8k_Dataset/2448793019_5881c025f9.jpg	<start> Seorang anak kecil di bagian bawah slide memiliki rambut mencuat. <end>
Flicker8k_Dataset/2448793019_5881c025f9.jpg	<start> seorang anak muda dengan celana jeans biru meluncur ke bawah slide biru <end>
Flicker8k_Dataset/2448793019_5881c025f9.jpg	<start> Seorang anak muda memakai kacamata hitam berada di dasar slide biru. <end>
Flicker8k_Dataset/2448793019_5881c025f9.jpg	<start> Foto anak yang didistorsi di bagian bawah slide. <end>
Flicker8k_Dataset/2744690159_fe2c89e55b.jpg	<start> Empat anjing memercikkan air <end>
Flicker8k_Dataset/2744690159_fe2c89e55b.jpg	<start> Tiga cokelat dan anjing hitam memercikkan air. <end>
Flicker8k_Dataset/2744690159_fe2c89e55b.jpg	<start> Tiga anjing coklat ada di dalam air. <end>
Flicker8k_Dataset/2744690159_fe2c89e55b.jpg	<start> Tiga anjing coklat bermain di laut. <end>
